                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.6463,                 0.8303,                 1.1491,                0.90716,                0.87615,                0.92837,                 0.5158,                 1.4969,                0.73102,                 1.1046,              0.0097921,              0.0097921,              0.0097921
                     65,                 1.6059,                 0.8137,                 1.1295,                0.90517,                0.86726,                0.91889,                0.50818,                 1.5161,                0.72746,                 1.1084,              0.0097888,              0.0097888,              0.0097888
                     66,                 1.6165,                0.80627,                 1.1288,                0.89955,                0.86944,                0.91827,                0.49982,                 1.5406,                0.72808,                 1.1089,              0.0097855,              0.0097855,              0.0097855
                     67,                 1.6203,                0.81481,                 1.1368,                0.91885,                0.88538,                0.93378,                0.51586,                 1.5042,                0.71673,                 1.1051,              0.0097822,              0.0097822,              0.0097822
                     68,                 1.6088,                0.79361,                 1.1356,                0.92019,                0.87352,                 0.9345,                0.52501,                 1.5011,                0.69611,                 1.0991,              0.0097789,              0.0097789,              0.0097789
                     69,                 1.6034,                0.79411,                 1.1217,                0.91669,                0.87671,                0.93303,                0.52272,                    1.5,                0.70979,                 1.0939,              0.0097756,              0.0097756,              0.0097756
                     70,                  1.593,                0.78813,                 1.1269,                0.91274,                0.88023,                0.92783,                0.51885,                 1.4979,                0.69631,                 1.1005,              0.0097723,              0.0097723,              0.0097723
                     71,                 1.6059,                0.79384,                 1.1332,                0.92053,                0.88726,                0.93675,                 0.5266,                 1.4864,                 0.6931,                 1.0957,               0.009769,               0.009769,               0.009769
                     72,                 1.5837,                0.78622,                 1.1237,                0.92834,                0.88007,                0.93784,                0.52275,                 1.5121,                0.69044,                 1.1045,              0.0097657,              0.0097657,              0.0097657
                     73,                 1.5858,                0.78114,                 1.1247,                 0.9119,                0.88547,                0.93387,                0.52119,                 1.4917,                 0.7033,                 1.0956,              0.0097624,              0.0097624,              0.0097624
                     74,                 1.6117,                0.80695,                 1.1309,                0.91749,                0.88202,                0.93503,                0.51759,                 1.4853,                0.71795,                 1.0913,              0.0097591,              0.0097591,              0.0097591
                     75,                 1.5994,                0.78678,                 1.1295,                 0.9219,                0.88678,                0.93481,                0.52072,                 1.5022,                0.69627,                  1.099,              0.0097558,              0.0097558,              0.0097558
                     76,                 1.5986,                 0.7952,                 1.1223,                0.91001,                0.88873,                0.92923,                0.52199,                  1.505,                0.68883,                 1.0947,              0.0097525,              0.0097525,              0.0097525
                     77,                 1.5793,                0.78082,                 1.1237,                 0.9158,                0.88791,                0.93259,                0.52339,                 1.4861,                0.69794,                 1.0974,              0.0097492,              0.0097492,              0.0097492
                     78,                 1.5986,                0.78974,                 1.1373,                0.91577,                0.88734,                0.93429,                  0.529,                  1.482,                0.69099,                 1.0925,              0.0097459,              0.0097459,              0.0097459
                     79,                  1.585,                 0.7816,                 1.1232,                0.90875,                0.88538,                0.92992,                0.53015,                 1.4869,                0.67407,                 1.0851,              0.0097426,              0.0097426,              0.0097426
                     80,                 1.5758,                0.78071,                 1.1081,                0.90881,                0.87671,                0.92569,                0.51665,                  1.495,                0.71287,                 1.0886,              0.0097393,              0.0097393,              0.0097393
                     81,                 1.5772,                0.77725,                 1.1146,                0.91934,                0.88905,                0.93712,                0.52794,                 1.4865,                0.68791,                 1.0897,               0.009736,               0.009736,               0.009736
                     82,                 1.5787,                0.76281,                 1.1235,                0.92306,                 0.8922,                0.93667,                0.53739,                 1.4771,                0.66722,                 1.0849,              0.0097327,              0.0097327,              0.0097327
                     83,                 1.5748,                0.77247,                 1.1036,                0.92164,                0.89684,                0.93508,                0.53054,                 1.4853,                 0.6728,                 1.0901,              0.0097294,              0.0097294,              0.0097294
                     84,                 1.5653,                0.76341,                 1.1156,                 0.9287,                0.88566,                0.93091,                0.52897,                 1.4774,                0.68217,                 1.0908,              0.0097261,              0.0097261,              0.0097261
                     85,                 1.5798,                0.78568,                  1.124,                0.91645,                0.87923,                0.92929,                0.53062,                 1.4781,                 0.6901,                 1.0848,              0.0097228,              0.0097228,              0.0097228
                     86,                 1.5753,                0.77174,                  1.106,                 0.9159,                0.88817,                0.93394,                0.53539,                 1.4598,                0.67735,                 1.0755,              0.0097195,              0.0097195,              0.0097195
                     87,                 1.5733,                0.77148,                 1.1084,                0.91647,                0.88007,                0.93284,                0.53027,                 1.4855,                0.67641,                  1.092,              0.0097162,              0.0097162,              0.0097162
                     88,                 1.5577,                0.76261,                 1.0976,                0.91665,                0.88538,                0.93383,                0.53487,                 1.4662,                0.67709,                 1.0753,              0.0097129,              0.0097129,              0.0097129
                     89,                 1.5626,                0.76413,                 1.1041,                0.91599,                0.88873,                0.93362,                0.53357,                 1.4668,                0.67098,                 1.0838,              0.0097096,              0.0097096,              0.0097096
                     90,                 1.5887,                0.77714,                 1.1157,                0.91264,                0.89374,                0.93272,                0.53242,                 1.4719,                0.68021,                 1.0845,              0.0097063,              0.0097063,              0.0097063
                     91,                 1.5801,                0.77712,                  1.111,                0.91526,                0.88678,                 0.9341,                0.53524,                 1.4534,                0.67744,                 1.0742,               0.009703,               0.009703,               0.009703
                     92,                 1.5751,                0.76839,                  1.112,                0.93263,                0.89395,                0.93814,                0.54794,                 1.4376,                0.65386,                 1.0698,              0.0096997,              0.0096997,              0.0096997
                     93,                   1.56,                0.76402,                  1.115,                0.92137,                0.88762,                0.93685,                0.53819,                 1.4697,                0.66569,                 1.0828,              0.0096964,              0.0096964,              0.0096964
                     94,                 1.5628,                0.76455,                  1.112,                0.92434,                0.89487,                0.94214,                0.54275,                 1.4458,                0.66638,                 1.0741,              0.0096931,              0.0096931,              0.0096931
                     95,                 1.5479,                0.75001,                 1.1018,                0.91217,                0.89181,                0.93267,                0.53449,                 1.4504,                0.66811,                 1.0724,              0.0096898,              0.0096898,              0.0096898
                     96,                  1.557,                0.75229,                 1.1013,                0.92304,                0.88853,                0.93843,                0.54011,                 1.4365,                 0.6633,                 1.0658,              0.0096865,              0.0096865,              0.0096865
                     97,                  1.548,                 0.7539,                 1.0997,                0.92353,                0.89469,                0.93952,                0.54638,                 1.4245,                0.65824,                 1.0669,              0.0096832,              0.0096832,              0.0096832
                     98,                 1.5504,                0.75742,                 1.0858,                0.91965,                0.89768,                0.94036,                0.54661,                  1.431,                0.65835,                 1.0577,              0.0096799,              0.0096799,              0.0096799
                     99,                 1.5581,                0.76009,                  1.109,                0.92337,                0.89796,                0.93697,                0.54724,                  1.432,                0.65131,                 1.0664,              0.0096766,              0.0096766,              0.0096766
                    100,                 1.5565,                0.75212,                 1.1042,                0.92553,                 0.8964,                0.93992,                0.54318,                 1.4347,                0.65345,                 1.0673,              0.0096733,              0.0096733,              0.0096733
                    101,                 1.5648,                0.76001,                 1.1019,                0.92657,                0.89992,                0.94494,                0.54942,                 1.4203,                0.64854,                 1.0605,                0.00967,                0.00967,                0.00967
                    102,                 1.5573,                0.75186,                 1.1002,                0.92487,                0.89321,                0.94163,                0.54765,                 1.4278,                0.64309,                 1.0647,              0.0096667,              0.0096667,              0.0096667
                    103,                 1.5486,                0.74796,                 1.1063,                0.92684,                0.89712,                0.94074,                0.54873,                 1.4278,                0.64845,                   1.06,              0.0096634,              0.0096634,              0.0096634
                    104,                 1.5615,                0.74992,                 1.1064,                0.92881,                0.90103,                0.94509,                 0.5552,                 1.4138,                0.64274,                 1.0595,              0.0096601,              0.0096601,              0.0096601
                    105,                 1.5439,                0.75544,                 1.0984,                0.91949,                0.89716,                0.93895,                0.55365,                 1.4172,                0.65002,                  1.064,              0.0096568,              0.0096568,              0.0096568
                    106,                 1.5452,                0.74389,                  1.105,                0.93281,                0.89377,                0.93994,                0.54885,                 1.4211,                0.64768,                 1.0649,              0.0096535,              0.0096535,              0.0096535
                    107,                 1.5544,                0.76294,                 1.1028,                0.93111,                0.90187,                0.94984,                0.55553,                 1.4106,                0.64143,                 1.0625,              0.0096502,              0.0096502,              0.0096502
                    108,                 1.5427,                0.75009,                 1.1089,                0.92396,                0.90701,                 0.9459,                0.55884,                 1.4084,                0.63619,                 1.0594,              0.0096469,              0.0096469,              0.0096469
                    109,                 1.5321,                0.73236,                 1.0962,                0.93327,                0.90314,                0.94408,                0.55474,                 1.4166,                0.63636,                 1.0579,              0.0096436,              0.0096436,              0.0096436
                    110,                 1.5449,                0.73854,                 1.0996,                0.92963,                0.90851,                0.94716,                0.55674,                 1.4139,                0.62843,                 1.0616,              0.0096403,              0.0096403,              0.0096403
                    111,                 1.5385,                0.74012,                 1.0951,                0.92795,                0.90019,                 0.9414,                0.55486,                 1.4146,                0.64113,                 1.0608,               0.009637,               0.009637,               0.009637
                    112,                  1.541,                0.73653,                 1.0909,                0.93541,                0.90686,                 0.9513,                 0.5633,                 1.4015,                0.63108,                 1.0589,              0.0096337,              0.0096337,              0.0096337
                    113,                 1.5428,                0.75548,                 1.0958,                0.92526,                 0.9002,                0.94806,                 0.5566,                 1.4063,                0.64501,                 1.0514,              0.0096304,              0.0096304,              0.0096304
                    114,                 1.5229,                0.73862,                 1.0955,                0.93441,                0.90327,                0.94946,                0.56502,                 1.4019,                0.62603,                 1.0536,              0.0096271,              0.0096271,              0.0096271
                    115,                  1.514,                0.73092,                 1.0857,                 0.9331,                0.90663,                0.94826,                0.56075,                 1.4039,                0.62559,                  1.052,              0.0096238,              0.0096238,              0.0096238
                    116,                 1.5386,                 0.7449,                 1.0954,                0.92961,                0.91193,                0.95074,                0.55767,                 1.4071,                0.63042,                 1.0518,              0.0096205,              0.0096205,              0.0096205
